OBJECTID,PEID,PGID,Name,NmDisp,NmAlt,ISOalpha3,Ctry,Regn,RegnSub,ROG,AffCd,Aff,PeopleDesc,LocationDesc,Pop,PopCls,EvngPct,EvngLvl,CongExst,Plnting,EngStat,GSEC,GSECbrf,GSEClng,SPI,SPIdesc,LPI,LPIname,LPIdesc,ROL,Lang,LangFamily,LangClass,LangSpkrs,ROR,Rlgn,RlgnAdher,RORdesc,RlgnBs,ROR4,ROR3,RlgnDiv,ROP3,PplNm,ROP25,Ethne,ROP2,PplClstr,ROP1,Affbloc,Bible,Jesus,Radio,Gospel,Audio,Stories,ResTot,LvlBible,YrPub,PicCrdt,PicURL,Photo,Indigenous,Latitude,Longitude,PeopleSearch,UpdatedDate
,,PG022477,Coquille,Kaxuyana,"Yilumbu, Baloumbou, Ilumbu",,,,,,,,an ethnolinguistic community of the United States,"Alaska: Delta area, Nunivak Island, Unalakleet to Bristol Bay coast to Unalakleet on Norton Sound; inland along Kuskokwim, Nushagak, and Yukon rivers; Chevak (Cup’ik dialect)",,,,,,,,,,,,,,,,blw,Balangao,,,,,,,,,,,,108027,Pikiwa,304335,Kukele,,,,,,,,,,,,,,,https://images.peoplegroups.org/imbpeople-featured-images/PG049764.jpg,,,35.89332106,-106.0168764,Acehnese of Indonesia (PG022477),2025-05-19T03:04:23.256+00:00
,,PG022848,Pequot,Kanoe,"M’bahouin, Mbangwe, Mbaouin",,,,,,,,a Native American tribe belonging to the Eastern Apache branch of the Southern Athabaskan language family,"Surin, Buriram, Sisaket, and Ubon Ratchathani provinces: near Cambodian and Laos borders",,,,,,,,,,,,,,,,sea,Semai,,,,,,,,,,,,108095,Polci,303605,Kamkam,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17474.jpg,,,35.890879,-106.118618,Muna of Indonesia (PG022848),2025-05-19T03:04:35.096+00:00
,,PG022537,Kato,Yawanawa,"Mpu, Northeast Teke, Ngungwel",,,,,,,,"a Native American people indigenous to Southern California, with a rich cultural heritage and deep historical roots in the region","Georgia: Sea Islands off coast; Michigan: Detroit; New York: New York City; North Carolina: Jacksonville coastal region; South Carolina: coastal lowlands to Jacksonville, Florida",,,,,,,,,,,,,,,,arv,Arbore,,,,,,,,,,,,109485,"Kissi, Southern",308417,Ubaghara,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p18312.jpg,,,36.05213625,-106.0679661,Sikule of Indonesia (PG022537),2025-05-19T03:04:37.31+00:00
,,PG033465,Nisqually,Irantxe,"Noku, Noho, Puku, Banoho",,,,,,,,"a Native American tribe of the Southern Plains, historically located in parts of Kansas, Oklahoma, and Texas. Today, they are federally recognized as the Wichita and Affiliated Tribes, headquartered in Anadarko, Oklahoma","Eastern Highlands province: Henganofi district, Dunantina valley, Kese village",,,,,,,,,,,,,,,,ktb,Kambaata,,,,,,,,,,,,103479,"Grebo, Seaside",306367,Orri,,,,,,,,,,,,,,,https://images.peoplegroups.org/imbpeople-featured-images/PG049885.jpg,,,35.96558,-106.08863,Kui of Laos (PG033465),2025-05-19T03:03:59.506+00:00
,,PG047503,Okanagan,Sabanes,"Lesighu, Lisighu, Lisigu, Mississiou, Sigu",,,,,,,,"an Indigenous people of southern Yukon in Canada, historically centered around Tagish Lake, Marsh Lake, and the Yukon River basin","Maluku province: Maluku Tengah regency, 10 villages on north Seram island, Salemen bay, south end near Opin town",,,,,,,,,,,,,,,,oyd,Oyda,,,,,,,,,,,,100193,Akpes,302147,Doko-Uyanga,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16180.jpg,,,35.80679272,-105.9705183,Cia Cia of Indonesia (PG047503),2025-05-19T03:04:08.84+00:00
,,PG022801,"Cree, Plains",Dutch,"Likaningi, Bakanike, Lekaningi, Bakaningi",,,,,,,,"a unique cultural group that emerged during the Russian colonization of Alaska. They are the descendants of Russian settlers—often fur traders and explorers—who intermarried with Indigenous Alaskan peoples, including the Aleut, Yupik, Inuit, and Alutiiq","Bungoma, Trans Nzoia, Kakamega, Uasin Gishu, and Busia counties",,,,,,,,,,,,,,,,gof,Gofa,,,,,,,,,,,,114575,Fumbira,305948,Nde,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16419.jpg,,,34.90547443,-106.6943101,Wolio of Indonesia (PG022801),2025-05-19T03:04:57.363+00:00
,,PG022524,Kenaitze,Abenaki,"Kanda, Okande, Kaande",,,,,,,,"a federally recognized Native American tribe based in the U.S. state of Washington; officially enrolled in the Confederated Tribes of the Chehalis Reservation, Quinault Tribe of the Quinault Reservation, Shoalwater Bay Tribe, and Cowlitz Indian Tribe","Minnesota: Upper Sioux, Lower Sioux, Prior Lake, Prairie Island, Minneapolis; Montana: Fort Peck reservation; Nebraska: Santee; North Dakota: Devils Lake, northern Standing Rock reservation, Sisseton-Lakota Traverse reservation; South Dakota: Crow Creek,",,,,,,,,,,,,,,,,kqy,Koorete,,,,,,,,,,,,109538,"Jew, Latin American",306141,Nnam,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17933.jpg,,,35.25112717,-106.5736068,Ogan of Indonesia (PG022524),2025-05-19T03:02:41.853+00:00
,,PG050579,Osage,Cocopah,Bwisi,,,,,,,,"a Native American tribe belonging to the Eastern division of the Apache peoples, part of the larger Athabaskan language family","Scattered communities, Ontario, Hudson Bay coast, James Bay northwest coast; inland into Manitoba, then Saskatchewan",,,,,,,,,,,,,,,,hdy,Hadiyya,,,,,,,,,,,,104804,Keiga,302290,Ekajuk,,,,,,,,,,,,,,,https://images.peoplegroups.org/imbpeople-featured-images/PG049026.jpg,,,36.439899,-105.546692,"Antillean Creoles of Bonaire, Sint Eustatius, and Saba (PG050579)",2025-05-19T03:03:01.28+00:00
,,PG024831,Aweti,Northern Tlapanec,Ambede,,,,,,,,a community of African descent with roots in Granada,"Morona-Santiago province: Taisha canton, Huasaga; Pastaza province: Pastaza canton, Montalvo and Simón Bolívar communities. Between Conambo, Macuma, and Pindoyacu rivers, north to Achuar, Alto Corrientes, and Pindoyacu communities, south to Peru border",,,,,,,,,,,,,,,,sid,Sidamo,,,,,,,,,,,,105327,Kryz,304109,Kohumono,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p18220.jpg,,,34.048775,-118.014656,Han Chinese of Panama (PG024831),2025-10-03T10:43:33.402+00:00
,,PG024949,Korubo,Kamba,"Bakwil, B?kwyel, Bakwele, Bekwil, Bekwie",,,,,,,,"an indigenous, sub-ethnic group of the Maya people, native to Balize and Guatemala","Rondônia: Pororoca Post, Branco river, tributary of the Guaporé",,,,,,,,,,,,,,,,liq,Libido,,,,,,,,,,,,100987,Bangobango,306273,Odual,,,,,,,,,,,,,,,https://images.peoplegroups.org/imbpeople-featured-images/PG048444.jpg,,,35.754692,-120.693042,Han Chinese of Mexico (PG024949),2025-05-19T03:03:29.226+00:00
,,PG020730,Arikapu,Rakhine,"Bumali, Lino",,,,,,,,a disapora community of Kyrgyz in the United States,"Himachal Pradesh: Chamba district, Pangi sub-district; Lahaul Spiti district, Udaipur on Chenab river to Chamba border at Purthi, possibly from Tandi to Sach Pass; Jammu and Kashmir: Doda district",,,,,,,,,,,,,,,,zay,Zayse,,,,,,,,,,,,104164,"Amazigh, Jalo",303383,Jidda-Abu,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p18256.jpg,,,36.714304,-121.649127,Han Chinese (Min Bei) of Singapore (PG020730),2025-05-19T03:03:32.39+00:00
,,PG043660,Nawa,Arutani,"Itsangi, Tcengui, Itsengi, Tsangi, Icaangui, Tchangui, Itsaangi, Batsangui, Tsengi",,,,,,,,"a small indigenous group native to Siompu Island, located southwest of Buton Island in Southeast Sulawesi","Central, Grand Bassa, Rivercess, and Montserrado counties",,,,,,,,,,,,,,,,wal,Wolaytta,,,,,,,,,,,,101416,Bideyat,300110,Agoi (Ibami),,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17070.jpg,,,48.80843918,-124.6695509,Tubatulabals of the United States (PG043660),2025-05-19T03:03:47.9+00:00
,,PG047291,Tariano,Yamana,Mbomotaba,,,,,,,,"a community of immigrants from or citizens of Botswana whose ethnicity is largely, but not exclusively, Tswana ","Huehuetenango department: central western Coatán river area, including Nentón",,,,,,,,,,,,,,,,wmt,Walmajarri,,,,,,,,,,,,112316,Orang Java (Javanese),309015,Yigha,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17877.jpg,,,32.239982,-107.422148,Mongols of the United States (PG047291),2025-05-19T03:03:57.393+00:00
,,PG048088,Tuyuka,Kabixi-Txapakura,Ingundi,,,,,,,,a Zhuangic ethnic group inhabiting the Xishuangbanna Prefecture in southwestern China,Guaviare and Meta departments: upper Guaviare river,,,,,,,,,,,,,,,,wbp,Warlpiri,,,,,,,,,,,,105948,"Arab, Libyan",308790,Western Mbube,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16951.jpg,,,18.222778,-97.914444,Koreans of South Korea (PG048088),2025-05-19T03:04:03.006+00:00
,,PG024731,Miranha,Germans,"Limbere, Ambede, Lembaamba, Mbaama, Limbede, Mbété, Obamba, Mbédé",,,,,,,,an ethnic group native to the region of Brittany (Breizh) in northwestern France,"Loreto region: Ampiyacu, Putumayo, northeast Yaguasyacu rivers. 5 villages",,,,,,,,,,,,,,,,rro,Waima,,,,,,,,,,,,106536,"Amazigh, Menasser",306137,Nkukoli,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16886.jpg,,,17.426667,-96.538333,Tajumulco Mam of Guatemala (PG024731),2025-05-19T03:04:18.17+00:00
,,PG050401,Amundava,Tehuelche,Bobangi,,,,,,,,a federally recognized Native American tribe based in the U.S. state of Arizona; officially the Havasupai Tribe of the Havasupai Reservation,"Department of Oruro, Province of Sabaya",,,,,,,,,,,,,,,,irk,Iraqw,,,,,,,,,,,,109973,Tessi,300208,Alege,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17040.jpg,,,20.158333,-98.202222,Venezuelans of Peru (PG050401),2025-05-19T03:04:51.676+00:00
,,PG048718,Yahup,Chiquitanos,Likouala,,,,,,,,"a group of federally recognized Native American tribes based in the U.S. state of Arizona; includes the Fort McDowell Yavapai Nation, Yavapai-Apache Nation of the Camp Verde Indian Reservation, and Yavapai-Prescott Indian Tribe","Loreto region: Ampuyacu, Putumayo, and Yaguasyacu rivers",,,,,,,,,,,,,,,,atb,Zaiwa,,,,,,,,,,,,103733,Hausa,308520,Uzekwe,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16492.jpg,,,18.6475,-98.075278,Mura of Brazil (PG048718),2025-10-31T14:16:57.78+00:00
,,PG050166,Kaxuyana,Martinicans,"Wumvu, Wumbu",,,,,,,,"an ancient ethnoreligious group whose religion, Mandaeism, is considered one of the last surviving Gnostic faiths",Cusco region: Keros and upper Madre de Dios rivers,,,,,,,,,,,,,,,,fij,Fijian,,,,,,,,,,,,100433,Arabized Black,305957,Ndoe,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16615.jpg,,,17.330556,-96.487222,Katio of Alto Andagueda of Colombia (PG050166),2025-10-31T14:16:32.518+00:00
,,PG024968,Kanoe,Lahta Karen,Bagando,,,,,,,,an ethnolinguistic group of Sierra Leone,"Mato Grosso do Sul: Paraguai river banks and up São Lourenço river, along Bolivian border",,,,,,,,,,,,,,,,emi,Mussau-Emira,,,,,,,,,,,,118859,"Arab, Bahraini, Sunni",301114,Bette-Bende,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17173.jpg,,,16.950833,-96.749167,Costa Ricans of Costa Rica (PG024968),2025-04-01T12:43:09.884+00:00
,,PG050214,Yawanawa,Nicaraguans,"Wanzi, Bawandji, Liwanzi",,,,,,,,"a distinct Mongolic ethnic group living in southwestern China, primarily in Sichuan Province, particularly in the Liangshan Yi Autonomous Prefecture","Ancash region: Corongo province, Aco, Corongo, Cusca, La Pampa, and Yanac districts. Most in Aco and Cusca",,,,,,,,,,,,,,,,gya,"Gbaya, Northwest",,,,,,,,,,,,103014,"Amazigh, Figig",308510,Utange,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17296.jpg,,,19.151944,-98.103056,Ashéninka Alto Pichis of Peru (PG050214),2025-05-29T13:23:24.871+00:00
,,PG047125,Irantxe,Guatemalans,"Adlai, Lemoi",,,,,,,,an Indigenous Inuit people who live primarily in the Inuvialuit Settlement Region (ISR) in the Northwest Territories and Yukon. They are one of the four main Inuit groups in Canada and represent the westernmost Inuit population in the country,Pará state; Cairari river (Moju river tributary),,,,,,,,,,,,,,,,buu,Budu,,,,,,,,,,,,113933,"Amazigh, Wargla",300178,Akpet-Ehom,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16239.jpg,,,17.200278,-93.011389,Karuazu of Brazil (PG047125),2025-10-31T14:27:24.407+00:00
,,PG023936,Sabanes,Vincentians,"Mekambo, Kotu, Ikota, Ikuta",,,,,,,,"a diaspora community of people from the Mariana Islands, politically divided between the United States territory of Guam and the Commonwealth of the Northern Mariana Islands in Micronesia",Rondônia: Ariquemes municipality,,,,,,,,,,,,,,,,nnb,Nande,,,,,,,,,,,,108307,Rashaida,303124,Ham (Hyam),,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16757.jpg,,,16.025,-95.665278,Afro-Ecuadorians of Ecuador (PG023936),2024-06-26T16:33:46.741+00:00
,,PG022047,Dutch,Hondurans,Glio,,,,,,,,a people of Bedouin Arab ancestry with a more localized ethnic identity tied to their history in Libya,"Pasco region: Chacayan, Chinche, Goyllarisquizqa, Paucar, San Pedro de Pillao, Tapoc, Villcabamba, and Yanahuanca districts; sparsely populated high country, more densely populated valleys",,,,,,,,,,,,,,,,mzv,Mandja,,,,,,,,,,,,111208,"Balanta, Kentohe",307978,Tarok,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16262.jpg,,,17.224167,-93.164722,Han Chinese of Myanmar (PG022047),2024-07-08T19:53:58.225+00:00
,,PG046888,Abenaki,Uruguayans,Essouma,,,,,,,,an indigenous ethnolinguistic group of Indonesia (Nusa Tenggara),Caquetá department: Yarí river area,,,,,,,,,,,,,,,,kdn,Kunda,,,,,,,,,,,,115187,Central African,301271,Bitare (Yukutare),,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16826.jpg,,,16.741111,-96.680833,Zenu of Colombia (PG046888),2024-07-08T19:55:51.134+00:00
,,PG050402,Cocopa,Jamaicans,Kwadya,,,,,,,,"an indigenous Inuit community primarily found in Greenland, culturally and linguistically connected to Inuit communities in Canada and Alaska. Greenlandic Inuits are the majority ethnic group in Greenland","Ancash region: Sihuas province, districts west of Sihuas river; Alfonso Huayllabamba, Sihuas, and west Ragash north of Rupac river, south Quiches, and Ugarte",,,,,,,,,,,,,,,,toh,Tonga (Mozambique),,,,,,,,,,,,115645,"Jew, Judeo-Persian",303252,Isoko,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16602.jpg,,,18.056667,-96.3975,Venezuelans of Ecuador (PG050402),2025-10-31T14:27:03.387+00:00
,,PG047123,"Tlapanec, Northern",Saint Lucians,"Mekyibo, Byetri",,,,,,,,an aboriginal tribe of India whose members are mainly shepherds and blanket weavers,"Loreto region: Arabela river, tributary of the Napo. 2 villages",,,,,,,,,,,,,,,,loz,Lozi,,,,,,,,,,,,114660,Mashadi,300550,Aten (Ganawuri),,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16810.jpg,,,17.036111,-97.295833,Pipipa of Brazil (PG047123),2025-10-31T14:26:39.06+00:00
,,PG047122,Kamba,Cora,"Fiot, Tsivili, Bavili, Fiote, Civili",,,,,,,,"a small indigenous group from Papua, Indonesia, primarily associated with the Woria language, which is now critically endangered","Huanuco region: Dos de Mayo province, Chuquis, Marias, Quivilla, Pachas, Ripán, Shunqui, Sillapata, and Yanas districts; Huamalíes province, Arancay, Chavín de Pariarca, Jacas Grande, Jircán, Llata, Miraflores, Punchao, Puños, Singa, and Tantamayo distri",,,,,,,,,,,,,,,,vmw,Makhuwa,,,,,,,,,,,,104659,"Karen, Pwo Eastern",306279,Ogbia,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p18320.jpg,,,16.796111,-96.395833,Kalanko of Brazil (PG047122),2025-10-31T14:26:12.231+00:00
,,PG039199,Rakhine,Trinidadians,Binga,,,,,,,,a group of Coast Salish First Nations peoples whose traditional territory spans southwestern British Columbia in Canada and parts of northern Washington State in the U.S.,"Amazonas department: Puerto Santander municipality, south of Caquetá river; Caqueta department: between Caqueta and Yari rivers",,,,,,,,,,,,,,,,nse,Nsenga,,,,,,,,,,,,116783,Malakar,306266,Obulom,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17408.jpg,,,17.946667,-96.170556,Yautepec Zapotec of Mexico (PG039199),2025-10-31T14:25:54.503+00:00
,,PG043719,Arutani,Kitsai,Langwasi,,,,,,,,"a First Nations people of Canada, indigenous to the Comox valley of British Columbia's Vancouver Island","Tungurahua province: immediate area around the towns of Salasaca and Pelileo, west of the Cutuchi river",,,,,,,,,,,,,,,,seh,Sena,,,,,,,,,,,,118968,"Namasudra, Tripuri",300748,Bakpinka (Uwet),,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17827.jpg,,,17.269444,-97.679167,Lowland Quechua of Colombia (PG043719),2025-11-05T20:44:59.364+00:00
,,PG046976,Yamana,Yuchi,"Dies, Egwa",,,,,,,,an indigenous ethnic group of mainland southeast Asia,Norte de Santander and Santander departments: east of Floridablanca; some in Boyacá department,,,,,,,,,,,,,,,,vmk,Makhuwa-Shirima,,,,,,,,,,,,110287,"Jew, Tunisian",302264,Ebughu,,,,,,,,,,,,,,,https://images.peoplegroups.org/imbpeople-featured-images/PG045985.jpg,,,16.173889,-95.886389,Tumbalala of Brazil (PG046976),2025-11-03T16:50:45.626+00:00
,,PG046971,Kinh,Kekchi,"Alladyan, Allagia, Allagian",,,,,,,,a subgroup of the African American ethnic group who predominantly inhabit the remote barrier islands of South Carolina and Georgia,"Cusco and Junin regions: Picha, Poyeni, and Mayapo rivers, upper Poyeni river, which flows into Tambo Yori and Agueni rivers which become Mipaya river flowing into the Urubamba; a few on Sensa and Vitiricaya rivers, affluents of the Urubamba",,,,,,,,,,,,,,,,ziw,Zigula,,,,,,,,,,,,110042,"Amazigh, Tidikelt",308908,Yako,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17908.jpg,,,28.3475,-107.846111,Nukuini of Brazil (PG046971),2025-10-31T15:13:30.984+00:00
,,PG048657,Vietnamese Migrant Workers,Cupeno,"Senefo, Nafana",,,,,,,,a major sub-group of the Luhya Bantu ethnic community in western Kenya,Amazonas: Marmelos and Rio Preto; Mato Grosso state,,,,,,,,,,,,,,,,saq,Samburu,,,,,,,,,,,,115069,Mahoran,306246,Nyima,,,,,,,,,,,,,,,https://images.peoplegroups.org/imbpeople-featured-images/PG047903.jpg,,,9.041443,-79.489999,Santa Maria la Alta Nahuatl of Mexico (PG048657),2025-11-03T11:52:17.331+00:00
,,PG047124,Kabixi-Txapakura,Metis,"Kugni, Kikunyi",,,,,,,,"a distinct division of the Cree Nation, traditionally inhabiting the lowland and swampy regions of northern Manitoba, northeastern Saskatchewan, and northern Ontario, especially along the Hudson Bay and James Bay coasts","Loreto region: Chapuli, Huitoyacu, Morona, and Pastaza rivers",,,,,,,,,,,,,,,,mlk,Kiwilwana,,,,,,,,,,,,103097,Gaaliin,302880,Gure-Kahugu,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p19281.jpg,,,41.95470696,-124.2058841,Shanenawa of Brazil (PG047124),2025-07-24T14:24:45.013+00:00
,,PG039225,German,Quiche,Abukaya,,,,,,,,a tribal community residing in the Pangi valley of Himachal Pradesh,"Orellana province: south from Tiputini river, including portions of Yasuní National Park; Pastaza province: Arajuno and Pastaza cantons including a small group near Puyo community; Napo province; eastern jungle between Napo and Curaray rivers",,,,,,,,,,,,,,,,kpz,Kupsapiiny,,,,,,,,,,,,104313,"Jew, Judeo-Amazigh",304829,Lubila,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16518.jpg,,,1.316197,103.699161,Tejalapan Zapotec of Mexico (PG039225),2025-05-19T03:04:15.543+00:00
,,PG046982,Tehuelche,Dakota,"Munzombo, Monzombo, Mondjembo, Monjombo Pygmy",,,,,,,,an ethnolinguistic people of Liberia; a subgroup of the larger Kru people of Liberia and Ivory Coast ,"Near the Aguaytia, San Alejandro, Cushucayo, and Manoa rivers on the left bank of the Ucayali River on the east side of the Andes in the jungles of central Peru",,,,,,,,,,,,,,,,nym,Nyamwezi,,,,,,,,,,,,103344,"Amazigh, Ghomara",306315,Olulumo-Ikom,,,,,,,,,,,,,,,https://images.peoplegroups.org/imbpeople-featured-images/PG048063.jpg,,,3.129405,101.766605,Xukurú of Brazil (PG046982),2025-10-31T19:20:30.639+00:00
,,PG048635,Chiquitano,Huichol,Mbato,,,,,,,,an indigenous tribe of the Colombian and Peruvian Amazon,"Amazonas department: Aduche tributary of Caquetá, 15 km downriver from Araracuara; Caquetá department: Solano municipality",,,,,,,,,,,,,,,,lag,Rangi,,,,,,,,,,,,116099,"Amazigh, Tuat",302373,Evand (Evant),,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16697.jpg,,,-10.428317,-38.783667,Pankara of Brazil (PG048635),2025-11-03T17:40:46.431+00:00
,,PG048636,Martinican,Hupa,Souma,,,,,,,,an ethnic community of mixed Indigenous and European ancestry originating in El Salvador,"Esmeraldas province: Cayapas river and tributaries (Canandé, Cojimíes, Onzole, Sucio, and others), north coastal jungle",,,,,,,,,,,,,,,,adh,Jopadhola,,,,,,,,,,,,116098,"Amazigh, Gourara",308845,Wuvulu-Aua,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16800.jpg,,,-0.134388,-78.495636,Koiupanka of Brazil (PG048636),2024-08-06T17:13:12.724+00:00
,,PG046974,"Karen, Lahta",Wyandot,Phera,,,,,,,,an indigenous people and language of Brazil,Chaco and Santa Fe provinces,,,,,,,,,,,,,,,,vid,Vidunda,,,,,,,,,,,,103758,Agomes,303578,Kamasau,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17821.jpg,,,42.666496,21.164589,Truka of Brazil (PG046974),2025-08-05T19:06:19.157+00:00
,,PG050215,Nicaraguan,Namibian,"Bayombe, Kiombi, Mbala",,,,,,,,a linguistic subgroup of the Quechua people indigenous to Peru's Pasco region,"Loreto and San Martin regions: Cahuapanas, Paranapura, Shanusi, and Sillay rivers",,,,,,,,,,,,,,,,cwe,Kwere,,,,,,,,,,,,106223,Mandal,306742,Pitilu,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17341.jpg,,,3.070913,101.578511,Katokinn of Brazil (PG050215),2025-04-08T16:55:12.87+00:00
,,PG046591,Guatemalan,Gheko Karen,"Pichinglis, Fernando Po Krio, Criollo, Pidgin de Guinea Ecuatorial, Pidginglis, Fernando Po Creole English, Fernandino, Krio",,,,,,,,a linguistic subgroup of the Quechua people indigenous to the Andean highlands of Peru's Ancash department,Amazonas and Loreto regions: high jungle of the Andes along Morona and Santiago rivers,,,,,,,,,,,,,,,,ikz,Ikizu,,,,,,,,,,,,105697,Lela,307390,Sepik,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17853.jpg,,,1.4694,103.900445,Iquito of Peru (PG046591),2025-10-31T15:15:17.561+00:00
,,PG039085,Saint Vincentian,Korop,"Bavili, Fiote",,,,,,,,an idigenous Amerindian community of Peru,"Loreto region: Napo river area, communities on the Putumayo; Madre de Dios region: small enclave east",,,,,,,,,,,,,,,,bob,Aweer,,,,,,,,,,,,108163,Puku,306104,Ninigo,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p16713.jpg,,,33.854995,-118.187967,Ixcatec of Mexico (PG039085),2025-05-19T03:04:26.46+00:00
,,PG043579,Honduran,Tabriak,"Langwasi, Banda Langbashe",,,,,,,,"a language of Brazil, Amazonas, Rio Preto and Marmelos","Sucumbíos province: Cuyabeno canton; Aguarico, Cuyabeno, and Eno rivers, near Colombian border",,,,,,,,,,,,,,,,ked,Kerewe,,,,,,,,,,,,102234,Cherkess,307614,Sokorok,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17856.jpg,,,45.421957,-75.637948,Ryukyuan of the United States (PG043579),2025-05-20T10:57:57.463+00:00
,,PG049989,Uruguayan,Barmi,"Diagbaleupleu, Yocoboue Dida",,,,,,,,a Panoan-speaking group of Amerindians in Peru,"Junin, Pasco, and Ucayali regions: central Gran Pajonal area",,,,,,,,,,,,,,,,hts,Hadza,,,,,,,,,,,,115823,Kadiro,308353,Tumie,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17055.jpg,,,2.82012,101.797431,Tsaatan of Mongolia (PG049989),2025-08-05T19:54:50.892+00:00
,,PG042927,Jamaican,Paku Karen,"Aja, Bija, Ajja",,,,,,,,"one of many Quechua-speaking Amerindian groups of Peru, Huánuco Department, Ambo province: Huacar, San Francisco de Mosca, and San Rafael districts","Mato Grosso: Xingú Park, source of Xingú river, villages along banks",,,,,,,,,,,,,,,,nnj,Nyangatom,,,,,,,,,,,,100376,Antaisaka,308271,Torricelli,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p21032.jpg,,,37.278381,-121.833206,Han Chinese (Min Nan) of Peru (PG042927),2025-10-31T15:26:49.032+00:00
,,PG043577,Saint Lucian,Ati Negrito,"Nzima, Appolo",,,,,,,,an ethnic community of mixed African and European ancestry originating in French Guiana,"Ancash region: Bolognesi province, Chiquián district, western Bolognesi west of Pativilca river and north of Llamac river; east Ocros, Corpanqui valley border. Western Ocros may be included, but the dialect is a bit different",,,,,,,,,,,,,,,,kmq,Gwama,,,,,,,,,,,,101622,"Fulani, Nigerian",308551,Vanimo,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17325.jpg,,,32.2218,76.3161,Oirat of the United States (PG043577),2024-08-13T20:37:42.227+00:00
,,PG046595,Cora,British,"Mid-Southern Banda, Mid-Southern, Banda, Banda-Dukpu, Yakwa",,,,,,,,an indigenous community of British Virgin Islands,"Amazonas, Caquetá, and Putumayo departments: between Putumayo and Caquetá rivers, north of Porto Arturo",,,,,,,,,,,,,,,,mym,Me’en,,,,,,,,,,,,107688,Orokolo,306715,Pila (Papua New Guinea),,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p21156.jpg,,,24.216,94.311,Han Chinese (Hainanese) of Malaysia (PG046595),2025-01-30T01:10:15.06+00:00
,,PG024356,Trinidadian,Arum-Chessu,"Glebo, Glebo Grebo",,,,,,,,a French Creole-speaking ethnic community of mixed African and European ancestry that formed in the French West Indian settlements of Guadeloupe and Martinique during the 17th century,"Cajamarca region: Chetilla and Los Baños districts; western dialect: Chetilla district, eastern dialect: Porcón and Cajamarca valley areas; La Libertad region: small area on west bank of Rio Marañon",,,,,,,,,,,,,,,,pkb,Kipfokomu,,,,,,,,,,,,116894,Nalogo,305668,Mugil,,,,,,,,,,,,,,,https://joshuaproject.net/assets/media/profiles/photos/p17150.jpg,,,-9.831619011,-71.75912163,Khalka Mongols of Kyrgyzstan (PG024356),2025-01-30T01:11:22.276+00:00
