OBJECTID,ROP2,PeopleCluster,Description,Citation,Source,EditorComments,ROP1,AddDate,EditDate,Status
103,C0283,South Asian Christian,The South Asia Christian cluster encompasses people groups with identity rooted in their Christian faith.,None,OMID,Community based cluster to replace ethno-linguistic cluster,A012,2020-02-06T00:00:00+00:00,2020-02-06T00:00:00+00:00,1
104,C0284,Chamar,"The Chamar are a Dalit community of India. They are found throughout the Indian subcontinent, mainly in the northern states of India and in Pakistan and Nepal. They are also known as Bhambi. Dalit is a Sanskrit term meaning ""broken or scattered"" and refers to the lowest caste in India, often characterized as ""untouchable"".",None,Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from Dalit - Chamar (Bhambi) to Chamar (1/19/2022),A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
105,C0285,Dusadh,"The Dusadh (Dosadh, Dusad) are a Dalit community of India. They are distributed across the states of Uttar Pradesh, Bihar and West Bengal. Historically, the Dusadhs were palanquin bearers. Dalit is a Sanskrit term meaning ""broken or scattered"" and refers to the lowest caste in India, often characterized as ""untouchable"".",None,Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from Dalit - Dusadh to Dusadh (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
106,C0288,Namasudra,"The Namasudra are a Dalit community of India. They are mainly concentrated in West Bengal, Assam, Tripura and Bihar.  Dalit is a Sanskrit term meaning ""broken or scattered"" and refers to the lowest caste in India, often characterized as ""untouchable"".",None,Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from Dalit - Namassej to Namasudra (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
107,C0294,Brahmin,"The Brahmin people are a prominent community spread across the whole of India. The Brahmin are the highest of the four Hindu social classes (Varnas). Their traditional occupations were related to transmission of the Sanskrit sacred traditions (Veda). While some still function as Hindu priests, Brahmin are found in a variety of professional occupations.",None,Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from Forward Caste - Brahmin to Brahmin (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
108,C0295,Nair,"The Nair (Nayar) are a group of Indian Hindu castes with numerous subdivisions, many of whom do not bear the name 'Nair'. The Nair are concentrated in the Indian state of Kerala but are also reported in Tamil Nadu, Pondicherry, and Maharashtra.",None,Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from Forward Caste - Nair to Nair (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
109,C0297,Rajput,"Rajput is a large and diverse cluster of castes whose members generally consider themselves to belong to the Kshatriya (warrior) varna (class). Rajput includes peoples with varied ethnic and geographical backgrounds. Rajputs are widely distributed across northern and central India and southern and eastern Pakistan. The majority are Hindu, but there are a few Muslim and Buddhist communities.",None,Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from Forward Caste - Rajput to Rajput (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
110,C0318,Ansari,"Ansari refers to a Muslim community found mainly in India, though smaller Ansari communities are reported in Pakistan, Nepal and Bangladesh. The Varanasi District in Uttar Pradesh is regarded as the center of the community in India. The Ansaris are mainly a landlord community but some are small and medium scale farmers.",None,Jim Courson,Community based cluster to replace ethno-linguistic cluster. Cluster name changed from OBC Muslim - Ansari to Ansari (1/19/2022).,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
111,C0328,South Asian Sikh,Sikhism is an Indian religion that originated in the Punjab region around the end of the 15th century. This cluster encompasses subgroups of  various communities whose identity is primarily shaped by their Sikh religion.,None,Jim Courson,Community based cluster to replace ethno-linguistic cluster,A012,2020-02-06T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
112,C0333,South Asian Tribal,"The South Asian Tribal people cluster encompasses tribal peoples not clearly related to one of the major scheduled tribes: Banjara, Bhil, Gond, Kuki Chin, or Tangsa.",None,Jim Courson,Community based cluster to replace ethno-linguistic cluster,A012,2020-02-06T00:00:00+00:00,2025-04-10T00:00:00+00:00,1
113,C0335,South Asian Jain,"Jainism is a nontheistic religion founded in India in the 6th century BC by the Jina Vardhamana Mahavira as a reaction against the teachings of orthodox Brahmanism. The Jain religion teaches salvation through a combination of right faith, right knowledge and right conduct practiced hrough strict adherence to the requirements of a doctrine of non-violence (Ahimsa).",None,OMID,Community based cluster to replace ethno-linguistic cluster,A012,2020-02-06T00:00:00+00:00,2020-10-23T00:00:00+00:00,1
114,C0336,Indo-Caribbean,"Indo-Caribbeans are Caribbean people who trace their full or partial ancestry to India. Their ancestors were Indian or other South Asian indentured workers brought to the Caribbean islands by the British, Dutch, and French from the mid-19th century to the early 20th century. They are predominantly Hindu with significant Christian and Muslim minorities and typically speak either Hindi or Caribbean Hindustani.",None,Jim Courson,Added by ROP Editor to address large bloc of Afro-Caribbean people of Indian heritage speaking Hindi or Hindustani,A012,2021-05-04T00:00:00+00:00,2021-05-04T00:00:00+00:00,1
115,C0337,Afro-Caribbean,"Afro-Caribbeans are Caribbean people who trace their full or partial ancestry to Africa. Their ancestors were taken from Africa to the Caribbean islands via the trans-Atlantic slave trade between the 15th and 19th centuries. People groups within this cluster share a variety of English, Dutch or French-based creole languages.",None,Jim Courson,"Consolidates the three Afro-Caribbean clusters (Anglophone, Dutch, Francophone) into a single Afro-Caribbean cluster with no linguistic designation",A007,2021-09-16T00:00:00+00:00,2021-09-16T00:00:00+00:00,1
116,C0248,"Sub-Saharan African, generic","The Sub-Saharan African, generic people cluster encompasses Sub-Saharan Africans in the diaspora whose identity in their host country is less tied to distinguishing tribal or ethno-linguistic identity than to a shared national identity.",None,Patrick Johnstone,None,A013,2004-09-13T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
117,C0251,Luri-Bakhtiari,"The Luri-Bakhtiari people cluster encompasses two large ethnic groups of southwestern Iran. The Lurs are a mixture of aboriginal Indo-Iranian tribes; the Bakhtiari are an Iranian tribe of nomadic pastoralists. Several dialect subgroups of the Lurs are identified as distinct people groups, including the Kumzari of Oman.",None,Patrick Johnstone,None,A005,2004-11-02T00:00:00+00:00,2012-09-05T00:00:00+00:00,1
118,C0280,Swiss,"The Swiss people cluster encompasses those peoples who are citizens or natives of Switzerland. Though linguistically diverse, with significant populations of German, French, and Italian speakers based on their region of residence, Swiss people share more affinity with each other than with German, French or Italian speakers in their neighboring countries. Christianity is the predominant religion with both Roman Catholicsim and the Swiss Reformed Church represented among all language groups.",None,Jim Courson,None,A003,2012-03-28T00:00:00+00:00,2012-09-27T00:00:00+00:00,1
119,C0338,Darzi,"The Darzi (Darji) community name derives from a Persian word meaning 'to sew'. They are an occupational community employed mainly as tailors. Hindu Darzi are distributed in Uttar Pradesh, Rajasthan, Madhya Pradesh, Orissa and Karnataka. Muslim Darzi are largely concentrated in Uttar Pradesh.",None,Jim Courson,None,A012,2022-01-20T00:00:00+00:00,2022-01-20T00:00:00+00:00,1
120,C0339,Dhobi,"The Dhobi are a large community widely distributed throughout northern India. Referred to as Dhob in Jammu and Kashmire and Dhoba in eastern India, the Dhobi are an occupational caste traditionally engaged in the washing and ironing of clothes. While the majority are Hindu, there are Muslim Dhobi in Delhi, Gujarat, Bihar and Chandigarh.",None,Jim Courson,None,A012,2022-01-20T00:00:00+00:00,2022-01-20T00:00:00+00:00,1
121,C0341,Jogi,"Jogi is a community that covers a large variety of people belonging to diverse linguistic, ethnic, cultural and regional backgrounds. The word 'jogi' is a generic term meaning a devotee of yoga. There are two distinct classes among the Jogi: a religious order of Hindus, and a  lower-caste collection of beggars and fortune tellers comprised of both Hindus and Muslims.",None,Jim Courson,None,A012,2022-01-20T00:00:00+00:00,2022-01-20T00:00:00+00:00,1
122,C0342,Gujjar,"The Gujjar are a large community of India, Pakistan, and Afghanistan. Typically engaging in agriculture or animal husbandry, the Gujjar are linguistically and religiously diverse. Their heart language is Gujari, but they speak the language of the region where they live. There are significant Muslim and Hindu Gujjar communities as well as some Sikh Gujjars.",None,Jim Courson,None,A012,2022-01-25T00:00:00+00:00,2022-01-25T00:00:00+00:00,1
123,C0347,Manipuri,"Manipur is a landlocked state in northeast India, a region characterized by its unique blend of ecological and cultural diversity. The Manipuri people cluster encompasses the Meitei, the largest ethic group in the state along with other ethnic groups native to the region that are not classified separately as Kuki Chin or Mizo.",None,Jim Courson,None,A014,2025-04-11T00:00:00+00:00,2025-04-11T00:00:00+00:00,1
124,C0257,"Bantu, Cameroon-Bamileke","Bantu refers to a large, complex linguistic grouping of peoples in Africa. The Cameroon-Bamileke Bantu people cluster encompasses multiple Bantu ethnic groups primarily found in Cameroon, the largest of which is the Bamileke. The Bamileke, whose origins trace to Egypt, migrated to what is now northern Cameroon between the 11th and 14th centuries. In the 17th century they migrated further south and west to avoid being forced to convert to Islam. Today, a majority of peoples within this people cluster are Christians.",None,Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-06-05T00:00:00+00:00,1
125,C0258,"Bantu, Central-Congo","Bantu refers to a large, complex linguistic grouping of peoples in Africa. The Central-Congo Bantu people cluster encompasses multiple Bantu ethnic groups primarily found in the Congo region of Africa, what today is comprised of the Democratic Republic of the Congo (Congo-Kinshasa) and the Republic of the Congo (Congo-Brazzaville). More than one hundred Bantu people groups are found within this geographic region.",None,Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-06-05T00:00:00+00:00,1
126,C0260,"Bantu, Central-Lakes","Bantu refers to a large, complex linguistic grouping of peoples in Africa. The Central-Lakes Bantu people cluster encompasses more than seventy Bantu tribes, of which the largest are the Hutu and the Tutsi. Tragically, these two tribes are best known as the opposing sides in a brutal 1994 civil war in Rwanda that resulted in the deaths of more than 500,000 people, a conflict that had simmered for more than three decades. The various Central-Lakes tribes are found in Kenya, Uganda, Tanzania, Rwanda, and Burundi in the area around lakes Albert, Edward, Kivu, Kyoga, and Victoria.",None,Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
127,C0262,"Bantu, Central-South","Bantu refers to a large, complex linguistic grouping of peoples in Africa. More than one hundred tribal groups are classified among the Central-South Bantu with no single ethnic group dominating the cluster. These tribes are found in Congo, Democratic Republic of Congo, Zambia, and northeastern Angola.",None,Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
128,C0263,"Bantu, Central-Southeast","Bantu refers to a large, complex linguistic grouping of peoples in Africa. Unlike many of the large and diverse Bantu people clusters, the Central-Southeast Bantu cluster encompasses only a handful of ethnic groups predominantly found in Mozambique and northeastern  South Africa. Among these groups are the Tsonga, Tswa, Chopi, Ronga, and Tonga. Some sources identify the Shangaan as a separate people group while others consider them a subgroup of the Tonga.",None,Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
129,C0265,"Bantu, Central-Tanzania","Bantu refers to a large, complex linguistic grouping of peoples in Africa. The Central-Tanzania Bantu people cluster encompasses more than fifty ethnic groups which, as the cluster name suggests, are predominantly found within Tanzania. Among these groups the largest ethnic peoples are Sukuma, Gogo, Nyamwezi and Nyakyusa-Ngonde.",None,Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
130,C0267,"Bantu, East-Coastal","Bantu refers to a large, complex linguistic grouping of peoples in Africa. The East-Coastal Bantu people cluster encompasses more than twenty-five ethnic groups clustered along the coast of Kenya and Tanzania. Largest among these groups are the Giriama of Kenya and the Luguru of Tanzania.",None,Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
131,C0271,"Bantu, Northwest","Bantu refers to a large, complex linguistic grouping of peoples in Africa. The Northwest Bantu people cluster encompasses more than eighty ethnolinguistic people groups, only a few of which are larger than 100,000. Most of these people groups are scattered along the Atlantic coast from Cameroon in the north to central Angola in the south. The two sizeable groups within the people cluster are the Lunda, Mbundu of north central Angola and the Bassa of southern Cameroon.",None,Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
132,C0275,"Bantu, Swahili","Bantu refers to a large, complex linguistic grouping of peoples in Africa.  Swahili is the most widely spoken language among the Bantu. The Swahili Bantu people cluster encompasses Bantu people who speak Swahili.",None,Patrick Johnstone,None,A013,2007-05-21T00:00:00+00:00,2015-05-04T00:00:00+00:00,1
133,C0153,Nilotic,"The Nilotic people cluster encompasses a number of people groups inhabiting the Nile Valley and speaking one or more Nilotic languages. The term 'Nilotic' derives from the Nile Valley. The Ethnologue classifies more than sixty languages as Nilotic, distinguishing these languages and their speakers from the mainly Bantu speaking peoples who are their ethnic neighbors.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
134,C0154,North American Indigenous,"The North American Indigenous people cluster encompasses the indigenous peoples of the United States and Canada. In Canada these people groups are identified as Aboriginal peoples or, excluding Inuits and Metis, First Nations peoples. In the United States they are typically identified as Native Americans. Hundreds of languages were spoken in North America prior to first contact with Europeans beginning in the 11th century but most indigenous languages in North America are in decline with a great many classified as endangered. Christianity is noted as primary religion for most of these people groups.",None,Patrick Johnstone,None,A009,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
135,C0155,Nosu,"The Nosu are a Tibeto-Burman ethnic group of China. Though classified by the Chinese government as a subgroup of the Yi, their languages are not typically intelligible with other Yi languages and the Nosu identify themselves as a separate people from other Yi subgroups. Most Nosu live in the mountains of northern Yunnan and southwest Sichuan where they labor as farmers and practice ethnic religions.",None,Patrick Johnstone,None,A014,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
136,C0156,Nuba Mountains,"The Nuba Mountains, in the South Kordofan province of Sudan, are home to a group of indigenous ethnic people groups known collectively as the Nuba peoples. The climate is semi-arid, but lush and green compared with most nearby areas. There are almost no roads; villages are connected by footpaths. The peoples live in family compounds and make their living through farming and herding. Sunni Islam dominates most of the region, though a few groups follow Christian or animistic beliefs.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
137,C0157,Nubian,"The Nubians are an ethnic group originating in the Nile region that today forms northern Sudan and southern Egypt. Famous for their horsemanship and their skill and precision with the bow, many Nubians were hired by Hannibal during the Punic Wars to fight against the Romans. Arabization accounts for the prevalence of Sunni Islam and is influencing some of these peoples to take up Arab languages in place of their original Nubian languages.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
138,C0158,Nupe,"The Nupe are a riverine ethnic group living along the Niger and Kaduna rivers in west-central Nigeria. The Nupe people cluster encompasses the Nupe along with several linguistically related peoples classified within Ethnologue as Nupe-Gbagyi. Many Nupe were converted to Islam at the end of the 18th century, but Christianity is practiced among the Gbagyi and ethnic religions are practiced by several of the smaller people groups.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
139,C0165,Central American Indigenous,"The Central American Indigenous people cluster encompasses indigenous peoples of Central America who are not classified within other people clusters, notably the Zapoteco, Mixteco, Maya, Aztec, Otomi, or Hispanic clusters that account for most Central American peoples.",None,Patrick Johnstone,None,A007,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
140,C0168,Other Hispanic American,The Other Hispanic American people cluster encompasses Hispanic peoples of South America who are not classified within the Hispanic people cluster that accounts for most Spanish-speaking Latin American peoples.,None,Patrick Johnstone,None,A007,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
141,C0170,Other Pacific Islanders,"The Other Pacific Islanders people cluster encompasses Pacific Islanders who are not classified within the Aborigine, Fiji, Micronesian, New Caledonia, New Guinea, Polynesian, Solomons, or Vanuatu peoples clusters that account for most Pacific Islanders.",None,Patrick Johnstone,None,A010,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
142,C0171,Other Southeast Asian,"The Other Southeast Asian people cluster encompasses Southeast Asian peoples who are not classified within the Bouyei, Cham, Lao, li, Miao / Hmong, Mon-Khmer, Shan, Tai, Tai Dam, Tai-Kadai, Thai, Vietnamese, Yao-Mien, or Zhuang people clusters that account for most Southeast Asian peoples.",None,Patrick Johnstone,None,A011,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
143,C0173,Other Sub-Saharan African,"The Other Sub-Saharan African people cluster encompasses Sub-Saharan Africans who are not classified within the Adamawa-Ubangi, Atlantic, Bantu, Benue, Chadic, Fulani / Fulbe, Guera-Naba, Guinean, Gur, Hausa, Igbo, Ijaw, Kanuri-Saharan, Khoisan, Kru, Malinke, Mande, Nilotic, Nuba Mountains, Nubian, Nupe, Ouaddai-Fur, Pygmy, Sara-Bagirmi, Songhai, Soninke, Sudanic, Susu, or Yoruba people clusters that account for most Sub-Saharan African peoples.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
144,C0175,Ouaddai-Fur,"The Ouaddai Empire was originally a non-Muslim kingdom that ruled present-day Chad from the sixteenth to nineteenth centuries. From the middle of the eighteenth century it came under Islamic influence. Today, a number of Sunni Muslim subgroups of the Ouaddai inhabit the Wadai Province of Chad. During the same era, the Fur Empire ruled western Sudan, primarily the Darfur region, before falling to the Anglo-Egyptians in the late nineteenth century.  The Ouaddai-Fur people cluster encompasses people groups whose roots trace to these two empires.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
145,C0176,Parsee,"The Parsee trace their origins to the Zoroastrian empire of Persia, founded before 3000 BC. Cyrus and Darius of the Bible were followers of the prophet Zoroaster. According to tradition, modern Parsee descended from Zoroastrians who fled from Iran to India during the 10th century AD to avoid persecution by Muslim invaders. Today the major Parsee communities are in Iran and India, but growing immigrant communities of Parsee are reported in the United States and the United Kingdom.",None,Patrick Johnstone,None,A005,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
146,C0179,Persian,"The Persian people are an Indo-European ethnic group that speaks one or more Iranian languages. The term 'Persian' comes from 'Persis', a region of the Persian Gulf that today is known as Fars Province in Iran. Originally spelled 'Pars' this region was the cultural center of Iran. It was from this region that Cyrus the Great united competing empires to form the Persian empire. Today, ethnic Persians are scattered across Central Asia, but the core remain in Iran. The Persian people cluster includes Farsi speaking Persians along with two major Caspian peoples, the Gilaki and Mazanderani, and a number of smaller ethnic Iranian groups.",None,Patrick Johnstone,None,A005,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
147,C0180,Polynesian,"Polynesia is a subregion of Oceania, comprised of more than 1,000 islands scattered over the central and southern Pacific Ocean. The indigenous peoples who inhabit the islands of Polynesia are identified as Polynesians. They share a family of related languages as well as similar cultural traits and religious beliefs.",None,Patrick Johnstone,None,A010,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
148,C0181,"Portuguese, Brazilian","Brazil was established as a colony of Portugal in 1500 and remained under the influence of Portugal until 1815. Today, Brazil is a Federal Republic, the largest country in South America, and the only Portuguese speaking country in South America. Brazil is a multiethnic society, which means that it is home to people of many different ethnic backgrounds. As a result, to be Brazilian is more a statement of nationality than of ethnicity. The Brazilian Portuguese people cluster encompasses Brazilians, sometimes delineated as White, Mestico, or Mulato, but more often simply characterized as Brazilian.",None,Patrick Johnstone,None,A007,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
149,C0182,"Portuguese, European","The Portuguese are a nation and ethnic group native to the country of Portugal, on the western edge of the Iberian peninsula in southwest Europe. Their native language is Portuguese and the dominant religion is Roman Catholicism. The European Portuguese people cluster encompasses the ethnic Portuguese of Portugal along with subgroups of related peoples such as the Mirandes and Azoreans.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
150,C0185,Quechua,"Quechua is the collective term for several ethnic groups in South America who speak a Quechua language, scattered in Peru, Ecuador, Bolivia, Chile, Colombia and Argentina. The Quechua are descendants of the once powerful Incan empire. At the time of the conquest, the Incans referred to their language as ""runasimi"", but the Spanish conquistadores named the language ""quechua"" and that name persists. The speakers of Quechua have only a slight sense of common identity, due in part to the fact that the various Quechua dialects are in some cases so different that no mutual understanding is possible.",None,Patrick Johnstone,None,A007,2003-10-30T00:00:00+00:00,2012-09-11T00:00:00+00:00,1
151,C0003,Adamawa-Ubangi,"Adamawa-Ubangi is a family of languages spoken in West and Central Africa. The Adamawa branch includes 80-90 languages spoken mostly across the Adamawa Plateau in Nigeria, Cameroon, Central African Republic and Chad. The Ubangian branch includes some seventy languages, mostly found within the Central African Republic.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,,1
152,C0004,Adi,"The Adi are one of the largest tribal groups in India, primarily inhabiting the northeastern Indian state of  Arunachal Pradesh. The term ""Adi"" means ""hill men"" and the cluster encompasses a number of groups that are categorized as ""hill tribes.""",None,Patrick Johnstone,None,A014,2003-10-30T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
153,C0007,Aimaq,"The Aimaq are a collection of Persian-speaking nomadic and semi-nomadic tribes. They are found throughout the north and northwest highlands of Afghanistan, immediately to the north of Heart, and in the Khorasan Province of Iran. They speak a number of subdialects of the Aimaq dialect of Persian.",None,Patrick Johnstone,None,A005,2003-10-30T00:00:00+00:00,2015-05-04T00:00:00+00:00,1
154,C0009,Altaic,"Altaic is a large language family that includes dozens of languages spoken by some 350 million people across central and northeast Asia. The Altaic people cluster encompasses only a tiny subset of widely scattered Altaic peoples, those most often described as Ewenki or Tungus. While their roots trace to Siberia, today they are primarily found in China, with only remnant communities in Russia. They typically practice traditional ethnic religions.",None,Patrick Johnstone,None,A015,2003-10-30T00:00:00+00:00,2012-09-27T00:00:00+00:00,1
155,C0010,Amazon,"The Amazon has a long history of human settlement. Many of these peoples existed along rivers where they had good means of transportation, excellent fishing, and fertile floodplain soils for agriculture. When Europeans arrived, these were the first settlements to be affected. In the first century of European presence, the Amerindian population was reduced by 90 percent. Most of the remaining peoples lived in the interior of the forest: either pushed there by the Europeans or traditionally living there in smaller groups. A majority of the people groups within the Amazon people cluster number are small groups of less than 1,000 people.",None,Patrick Johnstone,None,A007,2003-10-30T00:00:00+00:00,2015-05-04T00:00:00+00:00,1
156,C0011,Anglo-American,The Anglo-American people cluster encompasses the English-speaking portion of the Americas. U.S. Americans are the predominant people group but the cluster also includes minor English-speaking people groups outside the United States.,None,Patrick Johnstone,None,A009,2003-10-30T00:00:00+00:00,2015-05-04T00:00:00+00:00,1
157,C0012,Anglo-Celt,"Anglo-Celt is a cluster that includes people of British and Irish descent. The term is a combination of ""Anglo-"", meaning English and/or British, derived from the ""Angles"", a Germanic people that settled in Britain (mainly England) in the middle of the first millennium, and ""Celt"",  which refers to the people of Ireland, Scotland, Wales and Cornwall, the Celtic nations of the British and Irish Isles.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-03-08T00:00:00+00:00,1
158,C0025,Atlantic-Jola,"The Jola are an ethnic group found in Senegal, The Gambia, and Guinea-Bissau. They primarily live along the Atlantic coast between the southern banks of the Gambia River, in the Casamance region of Senegal and the northern part of Guinea-Bissau. The Jola are believed to have preceded the Mande and Fula peoples inhabiting this coastal area. The Atlantic-Jola people cluster includes several ethnolinguistic varieties of Jola.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-05-02T00:00:00+00:00,1
159,C0026,Atlantic-Wolof,"Wolof is a language of Senegal, The Gambia, and Mauritania, and the native language of the Wolof people. Like the neighboring languages Serer and Fula, it belongs to the Senegambian branch of the Niger–Congo language family. Unlike most other languages of Sub-Saharan Africa, Wolof is not a tonal language. The Atlantic-Wolof people cluster includes only the Wolof and the Lebou people groups.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-05-02T00:00:00+00:00,1
160,C0027,Aymara,"The Aymara are a native ethnic group in the Andes and Altiplano regions of South America. They have existed in the Andes in what is now Western Bolivia, Southern Peru, and Northern Chile for hundreds of years. Before the Inca conquests of the 15th century and the Spanish conquest of the 16th century, there were several independent Aymara states with distinct Aymara dialects. Today there are three surviving Aymara languages.",None,Patrick Johnstone,None,A007,2003-10-30T00:00:00+00:00,,1
161,C0028,Azerbaijani,"The Azerbaijani are a Turkic people living mainly in northwestern Iran and the Republic of Azerbaijan. The two major linguistic varieties of Azerbaijani, Northern and Southern, account for some 26 million people, but several smaller ethno-linguistic communities are included within the Azerbaijani people cluster, including: Kashkay, Khalaj, and Salchuq.",None,Patrick Johnstone,None,A015,2003-10-30T00:00:00+00:00,,1
162,C0029,Aztec,"The Aztec are an ethnic group who dominated large parts of Mesoamerica in the 14th, 15th and 16th centuries. ""Aztec"" (Aztecatl) is the Nahuatl word for ""people from Aztlan"", a mythological place for the Nahuatl-speaking culture of the time, and refers to all the various peoples who spoke the Nahuatl language. Aztec civilization flourished until the Spanish conquest in the 16th century and the Spanish settlement of Mexico City was founded on the site of the ruined Aztec capital.",None,Patrick Johnstone,None,A007,2003-10-30T00:00:00+00:00,,1
163,C0031,Baloch,"The Baloch are an ethnic group inhabiting the Balochistan region of Pakistan and the Sistan and Baluchistan Province in eastern Iran. Most Baloch speak either Eastern Balochi, Southern Balochi or Western Balochi. More than three-fourths of the Baloch live in Pakistan, with smaller numbers in Iran and Afghanistan. Increasing numbers of Baloch are migrating to Oman and the United Arab Emirates.",None,Patrick Johnstone,None,A005,2003-10-30T00:00:00+00:00,2012-06-05T00:00:00+00:00,1
164,C0032,Baltic,"The Baltic people cluster includes the Latvian and Lithuanian peoples, two of the three major European peoples bordering the Baltic Sea who gained independence from Russia in the aftermath of World War I. Latvians and Lithuanians are culturally and linguistically related based on common descent from Baltic tribes that have inhabited the region for  more than two thousand years.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-06-05T00:00:00+00:00,1
165,C0038,Basque,"The Basques are an ethnic group whose roots are in Basque Country, an area located around the western end of the Pyrenees on the coast of the Bay of Biscay in north-central Spain and south-western France. The term 'Basque' derives from the Latin 'Vasco' and it is believed that the Basques descended from the inhabitants of Vasconia, a territory between the Ebro and Garonne rivers. Large numbers of Basques have left Basque Country over the past few centuries, settling throughout North and South America, particularly in Argentina, Chile, Cuba, Mexico, Guatemala, Venezuela, and the United States.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
166,C0044,Benue,"The Benue River is the major tributary of the Niger River. At a length of some 1,400 km and almost entirely navigable during the summer months, the Benue is an important transportation route that serves the entire southeastern region of Nigeria. The Benue River basin is home to more than three hundred people groups, a majority of which number less than 50,000. Most groups speak a unique native language. Culture and religion vary widely.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-07-23T00:00:00+00:00,1
167,C0051,Bhojpur-Maithili,The Bhojpur-Maithili people cluster encompasses more than a dozen people groups that speak the Bhojpuri or Maithili languages. Bhojpuri is spoken in the western part of Bihar state and northwestern Jharkhand. Maithili is spoken in Bihar and Jharkhand in India as well as across the border into Nepal. Most of the people groups classified as Bhojpur-Maithili are relatively small.,None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2021-06-29T00:00:00+00:00,1
168,C0053,Bihari,"The Bihari are an ethnic group who trace their origins to the ancient state of Bihar, what today is the states of Bihar and Jharkhand. They typically speak one of more Bihari languages, a language family that includes Bhojpuri and Maithili, though Hindi is widely used in most formal contexts. Hindus, Muslims and Christians are all numbered among the people groups classified as Bihari.",None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2021-06-29T00:00:00+00:00,1
